sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
cFCFS,500,180000,0.1,810005,89995,1.607000,1488433.120000,3000192.483000,4552043.487000,5459865.574200,6007531.383600,6066757.158516,6077331.650000,1001.409000,1491004.707500,3009225.026000,4545883.563000,5455331.789800,6009024.213480,6067767.753146,6076072.276000
cFCFS,500,210000,0.1,944886,105114,1.291000,1926604.047250,3916827.181000,6004947.578750,7194174.149000,7884489.041750,7951011.623405,7962439.510000,1003.314000,1931711.346000,3927318.267500,5982391.640250,7186855.547200,7884694.916160,7951835.927492,7963235.129000
cFCFS,500,30000,0.5,75314,74686,1.435000,886354.028000,1810499.865500,2762955.286500,3354200.725000,3722173.843560,3751577.495110,3755090.140000,1000.276000,893241.383500,1834075.965000,2775659.233250,3366851.460000,3722167.236600,3752086.507150,3760728.722000
cFCFS,500,60000,0.5,149595,150405,1.447000,3127900.481500,6294675.926000,9524170.985000,30235400.987800,30691357.047800,30731429.030938,30740563.457000,1000.511000,3157625.507000,6368649.697000,9522597.909000,30235411.218000,30689387.181400,30731422.571368,30740563.318000
cfs,0,30000,0,150000,0,1.143000,2.035000,2.623000,3.341000,6.014000,17.345160,1277.044084,11599.549000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cfs,0,60000,0,300000,0,1.138000,2.222000,2.743000,3.736000,6.200000,22.901020,179.768277,8160.024000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cfs,0,90000,0,450000,0,1.131000,2.319000,2.895000,4.271000,6.914000,295.219610,1872.984112,8739.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cfs,0,120000,0,600000,0,1.123000,2.256000,2.911000,4.460000,7.608000,87.371040,548.764080,13955.341000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cfs,0,150000,0,750000,0,1.129000,2.313000,3.007000,4.654000,7.630000,61.317040,183.658021,13478.394000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cfs,0,180000,0,900000,0,1.124000,2.365000,3.126000,4.908000,7.955000,49.550010,395.501035,9691.327000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
